num_returns,refund_amount,time_gap,mismatch,category_risk,loyalty,reason_pattern,fraud
0,4205.264269216116,22,0,1,1,1,1
1,234.89861884921942,5,0,3,7,0,0
1,2454.261655859087,45,0,1,9,2,0
2,1154.6015161860346,25,0,3,8,2,0
3,3901.639716344173,34,0,3,8,1,1
2,296.74573458426136,12,0,1,5,0,1
1,1759.2595301063225,26,0,2,3,2,0
2,1618.0461390519074,41,0,4,3,1,0
2,4440.871972452876,17,0,1,4,2,1
2,2729.7990032865496,42,0,4,1,1,0
0,855.202358273987,19,0,3,4,1,0
2,1365.1804739927181,7,0,4,1,2,0
2,501.8228266705899,1,0,1,1,1,0
0,1004.3707640487091,19,0,3,1,0,1
4,3072.461173508857,49,0,1,1,1,0
2,3451.1949764081505,1,0,4,9,0,1
0,3934.8572305382427,15,1,4,1,2,1
2,3679.278447147186,15,0,2,1,1,1
1,2593.1637454971305,47,1,2,1,1,1
1,4244.015033128081,42,1,3,9,1,1
4,2906.852874262561,42,0,1,8,0,0
0,4189.032268681121,33,0,4,3,2,1
1,2862.586552739703,9,1,1,5,0,0
1,2548.045551486601,35,0,2,1,2,1
4,964.7342841698851,23,0,1,8,1,1
4,1743.0203282564898,34,0,4,8,2,0
2,1028.9057389346817,13,0,4,6,2,0
2,1471.8014125833697,18,0,1,2,1,0
7,4387.724752581863,42,0,4,8,2,1
1,2305.1338400969157,39,1,3,1,1,1
3,1448.9172187897077,9,0,2,3,1,0
5,2531.325908924998,41,1,2,8,2,1
0,2252.6354174113044,2,0,1,5,2,0
0,4953.955984992835,14,0,1,3,1,0
1,790.4511623298163,26,0,1,6,2,0
2,3371.9128744844766,26,0,4,4,1,1
3,2573.187756487496,27,0,1,3,0,0
3,4307.295830201159,47,0,4,8,1,1
0,667.7624359913195,23,0,1,8,2,0
3,3826.1243045083334,5,0,4,9,1,0
2,3839.75214068107,28,0,3,4,0,1
3,165.6193649949834,49,0,4,7,2,0
0,3764.457642081057,44,1,2,6,0,0
1,2530.364344310623,16,1,3,6,2,1
2,2529.735504323286,3,0,4,2,2,0
2,564.0602019640079,14,1,1,7,2,0
2,4965.629670632167,6,0,3,7,2,1
1,1799.728618480175,37,0,1,8,0,0
1,3588.004667479475,36,0,4,8,2,1
0,795.2362684462737,41,0,4,4,2,1
0,3597.444939073162,30,0,1,1,0,0
1,3616.7922967461923,14,0,4,7,0,0
1,3318.5673817433917,41,0,3,6,1,1
3,1815.896749060037,7,0,4,7,0,0
3,4311.662018277597,20,0,2,2,1,0
